Id,Id2,Geography,Median household income in 1999
1400000US36005013200,36005013200,"Census Tract 132, Bronx County, New York",54509
1400000US36005013300,36005013300,"Census Tract 133, Bronx County, New York",16426
1400000US36005013500,36005013500,"Census Tract 135, Bronx County, New York",14667
1400000US36005013700,36005013700,"Census Tract 137, Bronx County, New York",22437
1400000US36005013800,36005013800,"Census Tract 138, Bronx County, New York",48813
1400000US36005013900,36005013900,"Census Tract 139, Bronx County, New York",21685
1400000US36005014100,36005014100,"Census Tract 141, Bronx County, New York",14123
1400000US36005014300,36005014300,"Census Tract 143, Bronx County, New York",8606
1400000US36005014400,36005014400,"Census Tract 144, Bronx County, New York",22656
1400000US36005014500,36005014500,"Census Tract 145, Bronx County, New York",14264
1400000US36005014700,36005014700,"Census Tract 147, Bronx County, New York",10775
1400000US36005014900,36005014900,"Census Tract 149, Bronx County, New York",14353
1400000US36005015100,36005015100,"Census Tract 151, Bronx County, New York",18448
1400000US36005015300,36005015300,"Census Tract 153, Bronx County, New York",20918
1400000US36005015400,36005015400,"Census Tract 154, Bronx County, New York",52339
1400000US36005015500,36005015500,"Census Tract 155, Bronx County, New York",17616
1400000US36005015600,36005015600,"Census Tract 156, Bronx County, New York",56343
1400000US36005015700,36005015700,"Census Tract 157, Bronx County, New York",20685
1400000US36005015800,36005015800,"Census Tract 158, Bronx County, New York",33438
1400000US36005016000,36005016000,"Census Tract 160, Bronx County, New York",45828
1400000US36005016100,36005016100,"Census Tract 161, Bronx County, New York",16308
1400000US36005016200,36005016200,"Census Tract 162, Bronx County, New York",50833
1400000US36005016300,36005016300,"Census Tract 163, Bronx County, New York",0
1400000US36005016400,36005016400,"Census Tract 164, Bronx County, New York",50733
1400000US36005016500,36005016500,"Census Tract 165, Bronx County, New York",11442
1400000US36005016600,36005016600,"Census Tract 166, Bronx County, New York",41776
1400000US36005016700,36005016700,"Census Tract 167, Bronx County, New York",14432
1400000US36005016900,36005016900,"Census Tract 169, Bronx County, New York",16591
1400000US36005017100,36005017100,"Census Tract 171, Bronx County, New York",0
1400000US36005017300,36005017300,"Census Tract 173, Bronx County, New York",18375
1400000US36005017500,36005017500,"Census Tract 175, Bronx County, New York",14172
1400000US36005017700,36005017700,"Census Tract 177, Bronx County, New York",14931
1400000US36005017900,36005017900,"Census Tract 179, Bronx County, New York",17685
1400000US36005018100,36005018100,"Census Tract 181, Bronx County, New York",22514
1400000US36005018300,36005018300,"Census Tract 183, Bronx County, New York",24802
1400000US36005018400,36005018400,"Census Tract 184, Bronx County, New York",44167
1400000US36005018700,36005018700,"Census Tract 187, Bronx County, New York",0
1400000US36005018900,36005018900,"Census Tract 189, Bronx County, New York",25163
1400000US36005019300,36005019300,"Census Tract 193, Bronx County, New York",13609
1400000US36005019400,36005019400,"Census Tract 194, Bronx County, New York",51705
1400000US36005019500,36005019500,"Census Tract 195, Bronx County, New York",20402
1400000US36005019600,36005019600,"Census Tract 196, Bronx County, New York",34297
1400000US36005019700,36005019700,"Census Tract 197, Bronx County, New York",22904
1400000US36005019800,36005019800,"Census Tract 198, Bronx County, New York",28783
1400000US36005019900,36005019900,"Census Tract 199, Bronx County, New York",22231
1400000US36005020100,36005020100,"Census Tract 201, Bronx County, New York",21398
1400000US36005020200,36005020200,"Census Tract 202, Bronx County, New York",35000
1400000US36005020400,36005020400,"Census Tract 204, Bronx County, New York",34024
1400000US36005020500,36005020500,"Census Tract 205, Bronx County, New York",21754
1400000US36005020601,36005020601,"Census Tract 206.01, Bronx County, New York",29831
1400000US36005020602,36005020602,"Census Tract 206.02, Bronx County, New York",34276
1400000US36005020800,36005020800,"Census Tract 208, Bronx County, New York",32572
1400000US36005021000,36005021000,"Census Tract 210, Bronx County, New York",32813
1400000US36005021100,36005021100,"Census Tract 211, Bronx County, New York",19109
1400000US36005021200,36005021200,"Census Tract 212, Bronx County, New York",34444
1400000US36005021301,36005021301,"Census Tract 213.01, Bronx County, New York",15603
1400000US36005021302,36005021302,"Census Tract 213.02, Bronx County, New York",24899
1400000US36005021400,36005021400,"Census Tract 214, Bronx County, New York",68542
1400000US36005021501,36005021501,"Census Tract 215.01, Bronx County, New York",18207
1400000US36005021502,36005021502,"Census Tract 215.02, Bronx County, New York",16768
1400000US36005021601,36005021601,"Census Tract 216.01, Bronx County, New York",33955
1400000US36005021602,36005021602,"Census Tract 216.02, Bronx County, New York",34866
1400000US36005021701,36005021701,"Census Tract 217.01, Bronx County, New York",15066
1400000US36005021702,36005021702,"Census Tract 217.02, Bronx County, New York",20833
1400000US36005021800,36005021800,"Census Tract 218, Bronx County, New York",26264
1400000US36005021900,36005021900,"Census Tract 219, Bronx County, New York",18750
1400000US36005022000,36005022000,"Census Tract 220, Bronx County, New York",11190
1400000US36005022100,36005022100,"Census Tract 221, Bronx County, New York",20603
1400000US36005022300,36005022300,"Census Tract 223, Bronx County, New York",19677
1400000US36005022401,36005022401,"Census Tract 224.01, Bronx County, New York",30278
1400000US36005022402,36005022402,"Census Tract 224.02, Bronx County, New York",30982
1400000US36005022500,36005022500,"Census Tract 225, Bronx County, New York",20393
1400000US36005022701,36005022701,"Census Tract 227.01, Bronx County, New York",19219
1400000US36005022702,36005022702,"Census Tract 227.02, Bronx County, New York",20625
1400000US36005022703,36005022703,"Census Tract 227.03, Bronx County, New York",29063
1400000US36005022800,36005022800,"Census Tract 228, Bronx County, New York",32877
1400000US36005022901,36005022901,"Census Tract 229.01, Bronx County, New York",25402
1400000US36005022902,36005022902,"Census Tract 229.02, Bronx County, New York",21600
1400000US36005023000,36005023000,"Census Tract 230, Bronx County, New York",26042
1400000US36005023100,36005023100,"Census Tract 231, Bronx County, New York",15700
1400000US36005023200,36005023200,"Census Tract 232, Bronx County, New York",30598
1400000US36005023301,36005023301,"Census Tract 233.01, Bronx County, New York",24094
1400000US36005023302,36005023302,"Census Tract 233.02, Bronx County, New York",31466
1400000US36005023400,36005023400,"Census Tract 234, Bronx County, New York",31105
1400000US36005023501,36005023501,"Census Tract 235.01, Bronx County, New York",27591
1400000US36005023502,36005023502,"Census Tract 235.02, Bronx County, New York",19504
1400000US36005023600,36005023600,"Census Tract 236, Bronx County, New York",29669
1400000US36005023701,36005023701,"Census Tract 237.01, Bronx County, New York",21369
1400000US36005023702,36005023702,"Census Tract 237.02, Bronx County, New York",16111
1400000US36005023900,36005023900,"Census Tract 239, Bronx County, New York",17548
1400000US36005024000,36005024000,"Census Tract 240, Bronx County, New York",29770
1400000US36005024100,36005024100,"Census Tract 241, Bronx County, New York",19692
1400000US36005024200,36005024200,"Census Tract 242, Bronx County, New York",36000
1400000US36005024300,36005024300,"Census Tract 243, Bronx County, New York",21029
1400000US36005024400,36005024400,"Census Tract 244, Bronx County, New York",45000
1400000US36005024500,36005024500,"Census Tract 245, Bronx County, New York",22261
1400000US36005024600,36005024600,"Census Tract 246, Bronx County, New York",51350
1400000US36005024700,36005024700,"Census Tract 247, Bronx County, New York",37950
1400000US36005024800,36005024800,"Census Tract 248, Bronx County, New York",49063
1400000US36005024900,36005024900,"Census Tract 249, Bronx County, New York",63125
1400000US36005025000,36005025000,"Census Tract 250, Bronx County, New York",38854
1400000US36005025100,36005025100,"Census Tract 251, Bronx County, New York",23841
1400000US36005025200,36005025200,"Census Tract 252, Bronx County, New York",46563
1400000US36005025300,36005025300,"Census Tract 253, Bronx County, New York",20956
1400000US36005025400,36005025400,"Census Tract 254, Bronx County, New York",45476
1400000US36005025500,36005025500,"Census Tract 255, Bronx County, New York",21135
1400000US36005025600,36005025600,"Census Tract 256, Bronx County, New York",34712
1400000US36005025700,36005025700,"Census Tract 257, Bronx County, New York",29570
1400000US36005025800,36005025800,"Census Tract 258, Bronx County, New York",16250
1400000US36005026100,36005026100,"Census Tract 261, Bronx County, New York",55438
1400000US36005026300,36005026300,"Census Tract 263, Bronx County, New York",26343
1400000US36005026400,36005026400,"Census Tract 264, Bronx County, New York",49099
1400000US36005026500,36005026500,"Census Tract 265, Bronx County, New York",21306
1400000US36005026601,36005026601,"Census Tract 266.01, Bronx County, New York",31480
1400000US36005026602,36005026602,"Census Tract 266.02, Bronx County, New York",35248
1400000US36005026700,36005026700,"Census Tract 267, Bronx County, New York",27379
1400000US36005026900,36005026900,"Census Tract 269, Bronx County, New York",31832
1400000US36005027101,36005027101,"Census Tract 271.01, Bronx County, New York",10825
1400000US36005027102,36005027102,"Census Tract 271.02, Bronx County, New York",61250
1400000US36005027300,36005027300,"Census Tract 273, Bronx County, New York",27819
1400000US36005027400,36005027400,"Census Tract 274, Bronx County, New York",49712
1400000US36005027600,36005027600,"Census Tract 276, Bronx County, New York",0
1400000US36005027700,36005027700,"Census Tract 277, Bronx County, New York",25988
1400000US36005027900,36005027900,"Census Tract 279, Bronx County, New York",40308
1400000US36005028100,36005028100,"Census Tract 281, Bronx County, New York",39655
1400000US36005028300,36005028300,"Census Tract 283, Bronx County, New York",35362
1400000US36005028400,36005028400,"Census Tract 284, Bronx County, New York",0
1400000US36005028500,36005028500,"Census Tract 285, Bronx County, New York",35634
1400000US36005028600,36005028600,"Census Tract 286, Bronx County, New York",48571
1400000US36005028700,36005028700,"Census Tract 287, Bronx County, New York",38446
1400000US36005028800,36005028800,"Census Tract 288, Bronx County, New York",54776
1400000US36005028900,36005028900,"Census Tract 289, Bronx County, New York",31194
1400000US36005029300,36005029300,"Census Tract 293, Bronx County, New York",62727
1400000US36005029500,36005029500,"Census Tract 295, Bronx County, New York",49352
1400000US36005029600,36005029600,"Census Tract 296, Bronx County, New York",29426
1400000US36005029700,36005029700,"Census Tract 297, Bronx County, New York",59940
1400000US36005030000,36005030000,"Census Tract 300, Bronx County, New York",45289
1400000US36005030100,36005030100,"Census Tract 301, Bronx County, New York",48333
1400000US36005030200,36005030200,"Census Tract 302, Bronx County, New York",41031
1400000US36005030700,36005030700,"Census Tract 307, Bronx County, New York",69574
1400000US36005031000,36005031000,"Census Tract 310, Bronx County, New York",56406
1400000US36005031200,36005031200,"Census Tract 312, Bronx County, New York",50217
