Created Date,Agency,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address
7/9/2016 15:48,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,11231,80 DWIGHT STREET
7/9/2016 15:52,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,11231,38 BUSH STREET
7/9/2016 15:54,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,11231,428 COLUMBIA STREET
7/9/2016 17:26,DEP,Noise,Noise: Construction Before/After Hours (NM1),,11231,93 DOUGLASS STREET
7/10/2016 0:10,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,89 VERONA STREET
7/10/2016 4:58,DEP,Noise,Noise: air condition/ventilation equipment (NV1),,11231,610 HENRY STREET
7/10/2016 17:45,NYPD,Noise - Commercial,Loud Music/Party,Store/Commercial,11231,700 HICKS STREET
7/11/2016 2:51,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,464 COLUMBIA STREET
7/11/2016 11:50,DEP,Noise,Noise: Alarms (NR3),,11231,301 DEGRAW STREET
7/11/2016 13:38,DEP,Noise,Noise: air condition/ventilation equipment (NV1),,11231,295 SMITH STREET
7/11/2016 15:01,NYPD,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11231,43 BAY STREET
7/11/2016 20:51,DEP,Noise,Noise: Construction Before/After Hours (NM1),,11231,BUTLER STREET
7/11/2016 23:11,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,131 LORRAINE STREET
7/11/2016 23:45,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,LORRAINE STREET
7/12/2016 0:06,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,131 LORRAINE STREET
7/12/2016 1:29,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,17 LORRAINE STREET
7/12/2016 16:23,DEP,Noise,Noise: Construction Equipment (NC1),,11231,83 3 STREET
7/12/2016 23:13,NYPD,Noise - Commercial,Banging/Pounding,Store/Commercial,11231,177 DIKEMAN STREET
7/13/2016 3:24,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,77B VISITATION PLACE
7/13/2016 10:17,NYPD,Noise - Commercial,Loud Talking,Store/Commercial,11231,177 DIKEMAN STREET
7/13/2016 10:21,NYPD,Noise - Commercial,Banging/Pounding,Store/Commercial,11231,177 DIKEMAN STREET
7/13/2016 10:34,DEP,Noise,Noise: Construction Equipment (NC1),,11231,BUTLER STREET
7/13/2016 16:32,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,11231,505 COLUMBIA STREET
7/14/2016 17:53,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,11231,39 CENTRE MALL
